Name,Type,Compiled
ACD_DUTYSIMPLE,TABLE,2022/7/27 13:42
ACD_DUTYSIMPLEHUMAN,TABLE,2022/7/27 13:42
ACT_GE_PROPERTY,TABLE,2022/7/27 13:42
ADVANCE_DIRECT_HISTORY,TABLE,2022/7/27 13:42
ADVANCE_POLICE_GROUP,TABLE,2022/7/27 13:42
ADVANCE_SCENE_INFO,TABLE,2022/7/27 13:42
ADVANCE_VIDEO_PLAN_INFO,TABLE,2022/7/27 13:42
ADVANCE_VMS_PLAN,TABLE,2022/7/27 13:48
ALERTEVENT_CONFIG,TABLE,2022/7/27 13:46
ALERTEVENT_DUTY,TABLE,2022/7/27 13:42
ALERTEVENT_PARAM,TABLE,2022/7/27 13:42
ANLYS_INTS_STATUS_DATA_15MI,TABLE,2022/7/27 13:51
ANLYS_INTS_STATUS_DATA_30MI,TABLE,2022/7/27 13:51
ANLYS_INTS_STATUS_DATA_DAY,TABLE,2022/7/27 13:51
ANLYS_INTS_STATUS_DATA_HOUR,TABLE,2022/7/27 13:51
ANLYS_MONITOR_POINT_INOUT,TABLE,2022/7/27 13:48
ANLYS_SG_DATA,TABLE,2022/7/27 13:50
ANLYS_SG_PLAN,TABLE,2022/7/27 13:50
AN_SECTION_STATUS_COMPUTE_AVG,TABLE,2022/7/27 13:42
AN_SECTION_STATUS_DATA_AVG1,TABLE,2022/7/27 13:42
AREA_MAINTENANCE,TABLE,2022/7/27 13:42
BLACK_ALERT_CONFIG,TABLE,2022/7/27 13:42
BLACK_ALERT_CONFIG_TEMPLET,TABLE,2022/7/27 13:42
BLACK_ALERT_COUNT,TABLE,2022/7/27 13:42
BLACK_ALERT_FEEDBACK,TABLE,2022/7/27 13:46
BLACK_ALERT_FRONT_CHANNEL,TABLE,2022/7/27 13:43
BLACK_ALERT_FRONT_CONFIG,TABLE,2022/7/27 13:43
BLACK_ALERT_INFO,TABLE,2022/7/27 13:43
BLACK_ALERT_MID_DATA,TABLE,2022/7/27 13:43
BLACK_ALERT_PARK,TABLE,2022/7/27 13:43
BLACK_ALERT_POINT_COUNT,TABLE,2022/7/27 13:43
BLACK_ALERT_USER_INFO,TABLE,2022/7/27 13:43
BLACK_ALERT_WIGHT_CAR,TABLE,2022/7/27 13:43
BLACK_CONFIG_LEVEL_TEMPLET,TABLE,2022/7/27 13:43
BLACK_CONFIG_POINT,TABLE,2022/7/27 13:43
BLACK_CONFIG_POINT_DIRECTION,TABLE,2022/7/27 13:43
BLACK_CONFIG_POINT_TEMPLET,TABLE,2022/7/27 13:43
BLACK_CONTROL_AUDIT,TABLE,2022/7/27 13:43
BLACK_HIDDENDANGER_DRIVER,TABLE,2022/7/27 13:43
BLACK_LIST_MANAGE,TABLE,2022/7/27 13:46
BLACK_LIST_MANAGE_RECORD,TABLE,2022/7/27 13:43
BLACK_LIST_MAPPING,TABLE,2022/7/27 13:43
BLACK_LOW_ANALYSIS_DATA,TABLE,2022/7/27 13:43
BLACK_LOW_ANALYSIS_MID_DATA,TABLE,2022/7/27 13:43
